Abi Masatora
Onogawa Kisaburō
Yago Takanori
Yamaguchi Hisashi
Yamamotoyama Ryūta
Yamato Gō
Oginishiki Yasutoshi
Oginohana Akikazu
Oginohana Masaaki
Sadanofuji Akihiro
Sadanoumi Kōji
Sadanoumi Takashi
Sadanoyama Shinmatsu
Saganohana Katsumi
Sagatsukasa Hiroyuki
Terukuni Manzō
Terunofuji Haruo
Terunoumi Masato
Terutsuyoshi Shoki
Teruzakura Hiroyuki
Tsunenohana Kan'ichi
Tsurugamine Akio
Tsurugishō Momotarō
Tsurugizan Taniemon
Ulambayaryn Byambajav
Umegatani Tōtarō I
Umegatani Tōtarō II
Unryū Kyūkichi
Wakaazuma Yoshinobu
Wakabayama Sadao
Wakachichibu Komei
Wakafutase Tadayuki
Wakahaguro Tomoaki
Wakaichirō Ken
Wakajishi Shigenori
Wakakirin Shinichi
Wakakoma Kenzo
Wakakōyū Masaya
Wakamaeda Eiichirō
Wakamisugi Akiteru
Wakamiyama Kōhei
Wakamotoharu Minato
Wakanami Jun
Wakanohana Kanji I
Wakanohana Kanji II
Wakanohana Masaru
Wakanohō Toshinori
Wakanojō Munehiko
Wakanokuni Takeo
Wakanosato Shinobu
Wakanoumi Masateru II
Wakanoyama Hiroshi
Wakasegawa Taiji
Wakasegawa Yoshimitsu
Wakashima Gonshirō
Wakashimazu Mutsuo
Wakashoyo Shunichi
Wakasugiyama Toyoichi
Wakatakakage Atsushi
Wakatenryū Yuzo
Wakatoba Hiromi
Wakatsutomu Hiroki
