40
A.J. Saudin
Dave Foley
Dave Merheje
Dave Pettitt
Dave Somerville
Dave Thomas
David Alpay
David Alvarez
David Berni
David Berry
David Boutin
David Calderisi
David Cronenberg
David Cubitt
David Eisner
David Ferry
David Fox
David Giammarco
David Giguère
David Hayter
David Hewlett
David Huynh
David J. Francis
David James Elliott
David Julian Hirsh
David Kaye
David Lipper
David Lovgren
David McIlwraith
David Nykl
David Orth
David Paetkau
David Palffy
David Paul Grove
David Reale
David Richmond-Peck
David Rocco
David Steinberg
David Stuart
David Sutcliffe
David Toguri
Dawson Dunbar
Dayo Ade
Dean Armstrong
Dean Butler
Dean Haglund
Dean Marshall
Dean McDermott
Devon Bostick
Devon Sawa
Diego Fuentes
Diego Klattenhoff
Diego Matamoros
Dillon Casey
Dustin Milligan
Dwain Murphy
Dwayne Hill
Dylan Bruce
Dylan Everett
Dylan Kingwell
Dylan Neal
Dylan Ramsey
Dylan Smith
Dylan Taylor
Earl Pastko
Ed Evanko
Ed McNamara
Ed Sahely
Edge
Edward Glen
Ernie Coombs
Ernie Grunwald
Eugene Clark
Eugene Levy
Eugene Lipinski
Evan Adams
Evan Bird
Evan Roderick
Evan Williams
Fab Filippo
Fabien Cloutier
Finn Wolfhard
Fletcher Markle
Forbes March
Hugh Dillon
Hugh Thompson
Hugh Webster
Hugo St-Cyr
Hume Cronyn
Husein Madhavji
Jack Carson
Jack Creley
Jack Duffy
Jack J. Yang
Jack Kruschen
Jack Langedijk
Jack Wetherall
Jackson Davies
Jacky Chu
Jacob Kraemer
Jacob Tierney
Jacob Tremblay
Jacques Desrosiers
Jacques Galipeau
Jacques Godin
Jacques Languirand
Jade C. Bell
Jade Hassouné
Jai West
Jaimz Woolvett
Jake Beale
Jake Epstein
Jake Goldsbie
Jake Manley
James A. Woods
James Allodi
James Bamford
James Blendick
James Cade
James Carroll
James Doohan
James Gallanders
James Hyndman
James Lafazanos
Jared Keeso
Jarod Joseph
Jason Blicker
Jason Cadieux
Jason Cavalier
Jason Gray-Stanford
Jason Jones
Jason Priestley
Jason Roy Léveillée
Jason Ruta
Jason Spevack
Jason Thompson
Jasper Cho
Jay Baruchel
Jay Brazeau
Jay Silverheels
Jayden Greig
Jeremy Ratchford
Jerry Layne
Jerry Schaefer
Jerry Snell
Jesse Camacho
Jesse Carere
Jesse Collins
Jesse Hutch
Jesse Moss
Jesse Nilsson
Jesse Noah Gruman
Jesse Rath
Jim Byrnes
Jim Carrey
Jim Codrington
Jim Henshaw
Joby Baker
Joe Cobden
Joe Dinicol
Joe MacLeod
Joe Pingue
Joel Bissonnette
Joel Gordon
Keanu Reeves
Keir Gilchrist
Keith Knight
Ken Finkleman
Ken Kirby
Kenne Duncan
Kenneth Mitchell
Kenneth Welsh
Kenny Robinson
Kenny Vadas
Morgan Kelly
Morgan Waters
Rady Panov
Rafael Petardi
Raoul Bhaneja
Raugi Yu
Ray Bellew
Ray Jewers
Raymond Ablack
Raymond Bouchard
Raymond Burr
Raymond Lévesque
Salvatore Antonio
Sam Easton
Sam Grana
Ty Olsson
Ty Wood
Tygh Runyan
Tyler Harcott
Tyler Hynes
Tyler Johnston
Tyler Kyte
Tyler Labine
Tyler Mane
Tyler Shaw
Tyron Leitso
Tyrone Benskin
Tyrone Savage
Tyrone Tootoosis
Currie Graham
Kaj-Erik Eriksen
Larry D. Mann
Lovell Adams-Gray
Luc Roy
Lucas Bryant
Luck Mervil
MC40
MacDonald Parke
Manny Jacinto
Manoj Sood
Manuel Aránguiz
Manuel Tadros
Marty Adams
Marvin Goldhar
Pablo Schreiber
Serge Dupire
Serge Houde
Serge Postigo
Serge Thériault
Serge Turgeon
Sergio Di Zio
Timothy Findley
Tobias Mehler
Toby Proctor
Tod Fennell
Todd Caldecott
Todd Talbot
Will Arnett
Will Sasso
Willard Sage
William B. Davis
William Hope
Winston Rekert
Wolf Larson
Greg Anderson
Greg Bryk
Greg Kean
Greg Kramer
Greg Malone
Gregory Charles
Gregory Smith
Greyston Holt
Guillaume Cyr
Guillaume Lemay-Thivierge
Guy Big
Hadley Kay
Hagan Beggs
Hamza Haq
Howie Mandel
Hrant Alianak
Hrothgar Mathews
James McGowan
James Tupper
Jamie Elman
Jamie Johnston
Jan Rubeš
Jonathan Crombie
Jonathan Hale
Jonathan Malen
Jonathan Scarfe
Jonathan Torrens
Jonathan Watton
Jonathan Welsh
Jonathan Whitesell
Jonathan Wilson
Jonathon Young
Jonny Gray
Jonny Harris
Jordan Connor
Jordan Francis
Jordan Gavaris
Jordan McCloskey
Jordan Prentice
Joris Jarsky
Joseph Jomo Pierre
Joseph May
Joseph Motiki
Karl Pruner
Kavan Smith
Kawa Ada
Lloyd Bochner
Mpho Koaho
Munro Chambers
Neal Bledsoe
Rod Beattie
Rod Cameron
Roger Cross
Roger Lebel
Rohan Campbell
Roland Hewgill
Romaine Waite
Roman Danylo
Rupert Simonian
Russ Conway
Russell Peters
Ryan Belleville
Ryan Cooley
Ryan Doucette
Ryan Gosling
Ryan Kennedy
Ryan McDonald
Ryan Rajendra Black
Ryan Reynolds
Ryan Robbins
Ryan Scott Greene
Ted Atherton
Ted Cole
Ted Follows
Ted Whittall
Thom Allison
Thomas Elms
Thomas Hauff
Thomas Middleditch
Thomas Peacocke
Édouard Woolley
Émile Genest
Émile Schneider
Hardee T. Lineham
Harland Williams
Harley Morenstein
Harold Russell
Harris Allan
Harrison Houde
Harry Hayden
Hart Bochner
Harvey Atkin
Hayden Christensen
Hayden Szeto
Heath Lamberts
Ivor Francis
J. Adam Brown
J. C. MacKenzie
JR Bourne
Patrick Kwok-Choon
Patrick McKenna
Patrick Roach
Patrick Sabongui
Paul-André Brasseur
Paul Ahmarani
Paul Bradley
Paul Braunstein
Paul Buissonneau
Paul Campbell
Paul Doucet
Paul Dupuis
Paul Greene
Paul Gross
Paul Haddad
Paul Hecht
Paul Hopkins
Paul Hébert
Paul Johansson
Paul Kligman
Paul Koslo
Paul Massie
Paul Maxwell
Paul Miller
Paul O'Sullivan
Paul Perri
Paul Popowich
Paul Schoeffler
