Michael McKean
Michael Nathanson
Michael Paré
Myron McCormick
Nat Polen
Nathan Pelle
Nathaniel Brown
St. Clair Bayfield
Val Bisoglio
Vardaan Arora
Wally Vernon
Walt Gorney
Walter Brooke
Walter Burke
Walter Kinsella
Walter Mathews
Walter Matthau
Walter McGrail
Walter Tetley
Warner Anderson
Warren Berlinger
Warren Hymer
Whip Hubley
Whit Bissell
Whit Stillman
Whitman Mayo
Wil Shriner
Woodrow Parfrey
Woody Allen
Wyatt Cenac
Cole Hawkins
Colin Quinn
Connor Paolo
Connor Ratliff
Conrad Janis
Constantine Gregory
Constantine Maroulis
Conway Tearle
Cooper Hoffman
Corbett Monica
Corbin Bleu
Corey Glover
Corey Parker
Corey Stoll
Craig Ferguson
Craig Grant
Craig Slocum
Eli Nadel
Eli Wallach
Elliott Gould
Elliott Lewis
Elliott Reid
Elon Gold
Emanuel Azenberg
Emanuel Fried
Emil Wolk
Emilio Estevez
Emory Cohen
Eric Burroughs
Eric Edwards
Eric Emerson
Eric Schaeffer
Erich Bergen
Erik Bauersfeld
Erik Estrada
Forrest Winant
Francesco Cura
Franchot Tone
Francis Capra
Francis DeSales
Frank Aletter
Frank Campanella
Frank Chanfrau
Frank Conniff
Frank Delfino
Frank Gillmore
Frank Grillo
Frank H. Wilson
Frank John Hughes
Frank Losee
Frank Lovejoy
Frank Marth
Frank Maxwell
Frank Mayo
Frank Mitchell
Frank Morgan
Frank O'Connor
Frank Pellegrino
Frank Pesce
Frank Shields
Frank Sivero
Frank Stallone
Frank Whitson
Frank de Kova
Frankie Burke
Frankie Grande
Frankie J. Alvarez
Franklyn Ajaye
Franky G
Gerald Mohr
Gerald S. O'Loughlin
Gerard Christopher
Gerard Malanga
Gerrit Graham
Giancarlo Esposito
Gil Cates Jr.
Gilbert Gottfried
Gilbert Maxwell
Gilbert Price
Giovanni Capitello
Giullian Yao Gioiello
Glynn Turman
Gordon Douglas
Iftakar Chowdhury
Ilan Mitchell-Smith
Justin Pierce
Kareem Abdul-Jabbar
Karl Glusman
Laurence Fishburne
Lawrence Cook
Lawrence Dobkin
Lawrence Gilliard Jr.
Lawrence Hilton-Jacobs
Lawrence Tierney
Lee Camp
Lee Curreri
Lee Delano
Lin-Manuel Miranda
Lincoln Maazel
Lino DiSalvo
Lionel Wilson
Lisle Wilson
Luke Halpin
Luke Matheny
Luther Adler
Luther Reigns
Lyle Alzado
Malachi Throne
Malan Breton
Malcolm Williams
Malik Yoba
